domain,keyword_or_alias,source,weight
biology,ancient dna / paleogenomics — adna processing and contamination detection,category,0.6
biology,biodiversity informatics — species occurrence and taxonomy databases,category,0.6
biology,bioinformatics pipelines — workflow managers and pipeline frameworks,category,0.6
biology,"biomedical imaging — microscopy, histopathology, cell segmentation",category,0.6
biology,cheminformatics — drug discovery and molecular fingerprints,category,0.6
biology,climate biology — phenology and climate-species interaction models,category,0.6
biology,clinical genomics — variant interpretation and pharmacogenomics,category,0.6
biology,computational neuroscience — brain simulation and neural modeling,category,0.6
biology,connectomics — neural circuit reconstruction and brain mapping,category,0.6
biology,ecology & conservation — species distribution and population modeling,category,0.6
biology,epidemiology & disease modeling — outbreak tracking and compartment models,category,0.6
biology,"epigenomics — dna methylation, chromatin accessibility, histone modifications",category,0.6
biology,"genomics — sequence analysis, variant calling, genome assembly",category,0.6
biology,immunoinformatics — epitope prediction and antibody design,category,0.6
biology,long-read sequencing — oxford nanopore and pacbio tools,category,0.6
biology,"marine biology — ocean monitoring, fisheries, coral reef analysis",category,0.6
biology,metabolomics — metabolite identification and pathway analysis,category,0.6
biology,metagenomics — microbiome analysis and taxonomic classification,category,0.6
biology,phylogenetics — tree building and molecular evolution,category,0.6
biology,protein engineering / directed evolution — ml for protein design,category,0.6
biology,proteomics — protein structure prediction and mass spectrometry analysis,category,0.6
biology,spatial omics — spatial transcriptomics and spatial proteomics,category,0.6
biology,"structural biology — cryo-em, molecular dynamics, docking",category,0.6
biology,synthetic biology — genetic circuit design and dna assembly,category,0.6
biology,systems biology — network modeling and pathway simulation,category,0.6
biology,transcriptomics — rna-seq and single-cell rna-seq analysis,category,0.6
cybersecurity,cybersecurity,domain_name,1.0
cybersecurity,ai-security,sub_domain,0.8
cybersecurity,awesome-lists,sub_domain,0.8
cybersecurity,blue team & defensive tools,sub_domain,0.8
cybersecurity,bug bounty tools,sub_domain,0.8
cybersecurity,compliance-policy,sub_domain,0.8
cybersecurity,container-cloud-security,sub_domain,0.8
cybersecurity,cryptography,sub_domain,0.8
cybersecurity,exploit development & fuzzing,sub_domain,0.8
cybersecurity,forensics-ir,sub_domain,0.8
cybersecurity,iam-auth,sub_domain,0.8
cybersecurity,malware-reversing,sub_domain,0.8
cybersecurity,mobile security,sub_domain,0.8
cybersecurity,network-security,sub_domain,0.8
cybersecurity,osint-recon,sub_domain,0.8
cybersecurity,password cracking & brute-force,sub_domain,0.8
cybersecurity,pentest-frameworks,sub_domain,0.8
cybersecurity,phishing & social engineering,sub_domain,0.8
cybersecurity,red team & c2 frameworks,sub_domain,0.8
cybersecurity,siem / soc / threat detection,sub_domain,0.8
cybersecurity,supply chain security,sub_domain,0.8
cybersecurity,vuln-scanners,sub_domain,0.8
cybersecurity,webapp-security,sub_domain,0.8
cybersecurity,wireless & rf security,sub_domain,0.8
cybersecurity,access,tag,0.5
cybersecurity,adversarial-ml,tag,0.5
cybersecurity,agent-catalog,tag,0.5
cybersecurity,ai-security,tag,0.5
cybersecurity,analysis,tag,0.5
cybersecurity,api-security,tag,0.5
cybersecurity,api-testing,tag,0.5
cybersecurity,artifact-extraction,tag,0.5
cybersecurity,assessment,tag,0.5
cybersecurity,automation,tag,0.5
cybersecurity,autonomous-pentesting,tag,0.5
cybersecurity,beaconing,tag,0.5
cybersecurity,benchmark-framework,tag,0.5
cybersecurity,binary-analysis,tag,0.5
cybersecurity,brute-force,tag,0.5
cybersecurity,bug-bounty,tag,0.5
cybersecurity,c2,tag,0.5
cybersecurity,certificate-generation,tag,0.5
cybersecurity,code-analysis,tag,0.5
cybersecurity,command-control,tag,0.5
cybersecurity,cracking,tag,0.5
cybersecurity,cryptography,tag,0.5
cybersecurity,cybersecurity,tag,0.5
cybersecurity,decompilation,tag,0.5
cybersecurity,defensive-automation,tag,0.5
cybersecurity,detection,tag,0.5
cybersecurity,development-tool,tag,0.5
cybersecurity,digital-forensics,tag,0.5
cybersecurity,disassembly,tag,0.5
cybersecurity,disk-analysis,tag,0.5
cybersecurity,dynamic-analysis,tag,0.5
cybersecurity,elf-format,tag,0.5
cybersecurity,encryption,tag,0.5
cybersecurity,evasion-attacks,tag,0.5
cybersecurity,evidence-management,tag,0.5
cybersecurity,exploit,tag,0.5
cybersecurity,exploit-dev,tag,0.5
cybersecurity,exploitation,tag,0.5
cybersecurity,forensics,tag,0.5
cybersecurity,framework,tag,0.5
cybersecurity,generative-ai,tag,0.5
cybersecurity,guardrails-framework,tag,0.5
cybersecurity,hallucination,tag,0.5
cybersecurity,hash-cracking,tag,0.5
cybersecurity,hash-recovery,tag,0.5
cybersecurity,hashing,tag,0.5
cybersecurity,incident-response,tag,0.5
cybersecurity,injection,tag,0.5
cybersecurity,intelligence,tag,0.5
cybersecurity,jailbreak-detection,tag,0.5
cybersecurity,large-language-model,tag,0.5
cybersecurity,library,tag,0.5
cybersecurity,llm-evaluation,tag,0.5
cybersecurity,llm-safety,tag,0.5
cybersecurity,llm-vulnerability,tag,0.5
cybersecurity,macho-format,tag,0.5
cybersecurity,malware,tag,0.5
cybersecurity,malware-analysis,tag,0.5
cybersecurity,memory-forensics,tag,0.5
cybersecurity,model-extraction,tag,0.5
cybersecurity,modules,tag,0.5
cybersecurity,network-analysis,tag,0.5
cybersecurity,nlp,tag,0.5
cybersecurity,offensive-automation,tag,0.5
cybersecurity,offensive-security,tag,0.5
cybersecurity,open-source,tag,0.5
cybersecurity,osint,tag,0.5
cybersecurity,output-validation,tag,0.5
cybersecurity,packet-capture,tag,0.5
cybersecurity,password,tag,0.5
cybersecurity,password-cracking,tag,0.5
cybersecurity,pattern-matching,tag,0.5
cybersecurity,payload,tag,0.5
cybersecurity,payload-gen,tag,0.5
cybersecurity,pe-format,tag,0.5
cybersecurity,penetration-testing,tag,0.5
cybersecurity,pentesting,tag,0.5
cybersecurity,persistence,tag,0.5
cybersecurity,poc,tag,0.5
cybersecurity,poisoning-attacks,tag,0.5
cybersecurity,ports,tag,0.5
cybersecurity,programming,tag,0.5
cybersecurity,prompt-injection,tag,0.5
cybersecurity,prompt-testing,tag,0.5
cybersecurity,prompt-validation,tag,0.5
cybersecurity,protocols,tag,0.5
cybersecurity,recon,tag,0.5
cybersecurity,reconnaissance,tag,0.5
cybersecurity,red-teaming,tag,0.5
cybersecurity,reverse-engineering,tag,0.5
cybersecurity,reverse-shell,tag,0.5
cybersecurity,sandboxing,tag,0.5
cybersecurity,scanning,tag,0.5
cybersecurity,scripting,tag,0.5
cybersecurity,security,tag,0.5
cybersecurity,security-scanning,tag,0.5
cybersecurity,security-testing,tag,0.5
cybersecurity,security-tool,tag,0.5
cybersecurity,shellcode,tag,0.5
cybersecurity,software-engineering,tag,0.5
cybersecurity,ssl-tls,tag,0.5
cybersecurity,static-analysis,tag,0.5
cybersecurity,testing,tag,0.5
cybersecurity,threat-hunting,tag,0.5
cybersecurity,threat-intel,tag,0.5
cybersecurity,timeline,tag,0.5
cybersecurity,transformer,tag,0.5
cybersecurity,vuln-research,tag,0.5
cybersecurity,vulnerability,tag,0.5
cybersecurity,vulnerability-analysis,tag,0.5
cybersecurity,vulnerability-assessment,tag,0.5
cybersecurity,vulnerability-discovery,tag,0.5
cybersecurity,vulnerability-scanning,tag,0.5
cybersecurity,web-app-security,tag,0.5
cybersecurity,web-security,tag,0.5
cybersecurity,web-testing,tag,0.5
cybersecurity,wifi,tag,0.5
cybersecurity,wireless,tag,0.5
cybersecurity,wireless-security,tag,0.5
cybersecurity,wordlist,tag,0.5
cybersecurity,ai security agent catalog,category,0.6
cybersecurity,ai security framework,category,0.6
cybersecurity,autonomous web pentester,category,0.6
cybersecurity,binary analysis,category,0.6
cybersecurity,c2 framework,category,0.6
cybersecurity,code analysis tool,category,0.6
cybersecurity,credential testing,category,0.6
cybersecurity,crypto toolkit,category,0.6
cybersecurity,development tool,category,0.6
cybersecurity,exploit framework,category,0.6
cybersecurity,forensic platform,category,0.6
cybersecurity,forensics tool,category,0.6
cybersecurity,incident response,category,0.6
cybersecurity,language model,category,0.6
cybersecurity,llm output validation,category,0.6
cybersecurity,llm safety framework,category,0.6
cybersecurity,llm testing & evaluation,category,0.6
cybersecurity,llm vulnerability scanner,category,0.6
cybersecurity,malware analysis,category,0.6
cybersecurity,malware analysis tool,category,0.6
cybersecurity,malware tool,category,0.6
cybersecurity,memory forensics,category,0.6
cybersecurity,ml security library,category,0.6
cybersecurity,network analysis,category,0.6
cybersecurity,network scanner,category,0.6
cybersecurity,osint platform,category,0.6
cybersecurity,password cracker,category,0.6
cybersecurity,payload generator,category,0.6
cybersecurity,pentesting framework,category,0.6
cybersecurity,remote access,category,0.6
cybersecurity,reverse engineering,category,0.6
cybersecurity,security tool,category,0.6
cybersecurity,testing tool,category,0.6
cybersecurity,vulnerability scanner,category,0.6
cybersecurity,web security,category,0.6
cybersecurity,web security tool,category,0.6
cybersecurity,wireless security,category,0.6
education,education,domain_name,1.0
education,accessibility-inclusive-education,sub_domain,0.8
education,adaptive-learning,sub_domain,0.8
education,ai-teaching-assistants,sub_domain,0.8
education,analytics-learning-dashboards,sub_domain,0.8
education,assessment-testing,sub_domain,0.8
education,classroom-management,sub_domain,0.8
education,collaborative-learning,sub_domain,0.8
education,credentialing-certification,sub_domain,0.8
education,curriculum-authoring,sub_domain,0.8
education,edtech-infrastructure,sub_domain,0.8
education,gamification-engagement,sub_domain,0.8
education,interactive-coding-education,sub_domain,0.8
education,k12-stem,sub_domain,0.8
education,language-learning,sub_domain,0.8
education,lms,sub_domain,0.8
education,research-academic-publishing,sub_domain,0.8
education,sis,sub_domain,0.8
education,special-education-therapy,sub_domain,0.8
education,video-lecture-platforms,sub_domain,0.8
education,virtual-labs-simulations,sub_domain,0.8
education,aac,tag,0.5
education,academic-integrity,tag,0.5
education,accessibility,tag,0.5
education,adaptive-learning,tag,0.5
education,ai-tutoring,tag,0.5
education,analytics,tag,0.5
education,annotation,tag,0.5
education,assessment,tag,0.5
education,attendance,tag,0.5
education,authoring,tag,0.5
education,autism-support,tag,0.5
education,autograding,tag,0.5
education,automated-feedback,tag,0.5
education,badges,tag,0.5
education,captioning,tag,0.5
education,certification,tag,0.5
education,classroom,tag,0.5
education,coding,tag,0.5
education,collaboration,tag,0.5
education,course-delivery,tag,0.5
education,courseware,tag,0.5
education,credentialing,tag,0.5
education,curriculum,tag,0.5
education,dashboards,tag,0.5
education,device-management,tag,0.5
education,early-alerts,tag,0.5
education,engagement,tag,0.5
education,enrollment,tag,0.5
education,essay-scoring,tag,0.5
education,exams,tag,0.5
education,flashcards,tag,0.5
education,gamification,tag,0.5
education,grading,tag,0.5
education,inclusive-learning,tag,0.5
education,interactive,tag,0.5
education,journals,tag,0.5
education,k12,tag,0.5
education,knowledge-tracing,tag,0.5
education,language-learning,tag,0.5
education,leaderboards,tag,0.5
education,lecture-capture,tag,0.5
education,lms,tag,0.5
education,lti,tag,0.5
education,mastery,tag,0.5
education,microcredentials,tag,0.5
education,monitoring,tag,0.5
education,oer,tag,0.5
education,open-badges,tag,0.5
education,peer-review,tag,0.5
education,playgrounds,tag,0.5
education,publishing,tag,0.5
education,question-generation,tag,0.5
education,reading-support,tag,0.5
education,references,tag,0.5
education,remote-labs,tag,0.5
education,rostering,tag,0.5
education,sandboxes,tag,0.5
education,scheduling,tag,0.5
education,science-learning,tag,0.5
education,scorm,tag,0.5
education,simulations,tag,0.5
education,sis,tag,0.5
education,special-education,tag,0.5
education,speech-therapy,tag,0.5
education,stem,tag,0.5
education,streaming,tag,0.5
education,student-learning,tag,0.5
education,transcripts,tag,0.5
education,tutoring,tag,0.5
education,video-learning,tag,0.5
education,virtual-labs,tag,0.5
education,vocabulary,tag,0.5
education,whiteboards,tag,0.5
education,wikis,tag,0.5
education,xapi,tag,0.5
education,"accessibility, inclusive education, captioning, aac & learning support",category,0.6
education,"adaptive learning, personalization, knowledge tracing & ai tutoring",category,0.6
education,"ai teaching assistants, automated feedback, question generation & essay scoring",category,0.6
education,"analytics, learning dashboards, engagement metrics & early alerts",category,0.6
education,"assessment, testing, exam creation, auto-grading & academic integrity",category,0.6
education,"classroom management, device supervision, screen monitoring & scheduling",category,0.6
education,"collaborative learning, peer review, whiteboards, wikis & group work",category,0.6
education,"credentialing, certification, open badges, diplomas & micro-credentials",category,0.6
education,"curriculum, content authoring, oer publishing & interactive courseware",category,0.6
education,"edtech infrastructure, lti, xapi, scorm, sso, rostering & data sync",category,0.6
education,"gamification, badges, leaderboards, educational games & classroom engagement",category,0.6
education,"interactive coding education, browser ides, sandboxes & code playgrounds",category,0.6
education,"k-12 learning, stem education, simulations & kid-friendly programming",category,0.6
education,"language learning, vocabulary training, reading support & speaking practice",category,0.6
education,"learning management systems (lms), course delivery, grading & enrollment",category,0.6
education,"research, academic publishing, journal platforms, peer review & references",category,0.6
education,"special education, aac, speech therapy, autism & therapy support tools",category,0.6
education,"student information systems (sis), attendance, transcripts & parent portals",category,0.6
education,"video, lecture capture, streaming, annotation & video-based learning",category,0.6
education,"virtual labs, remote labs, science simulations & experiment platforms",category,0.6
fintech,fintech,domain_name,1.0
fintech,accounting-bookkeeping,sub_domain,0.8
fintech,aml-kyc-identity,sub_domain,0.8
fintech,amm-dex-trading-infra,sub_domain,0.8
fintech,billing-subscription-invoicing,sub_domain,0.8
fintech,blockchain-analytics-indexing,sub_domain,0.8
fintech,core-banking-ledger,sub_domain,0.8
fintech,credit-scoring-risk-modeling,sub_domain,0.8
fintech,defi-lending-borrowing,sub_domain,0.8
fintech,financial-ai-nlp,sub_domain,0.8
fintech,financial-data-standards,sub_domain,0.8
fintech,financial-document-processing,sub_domain,0.8
fintech,financial-market-data,sub_domain,0.8
fintech,financial-messaging-protocols,sub_domain,0.8
fintech,fraud-detection-prevention,sub_domain,0.8
fintech,insurance-actuarial-tech,sub_domain,0.8
fintech,open-banking-psd2,sub_domain,0.8
fintech,payment-processing-gateways,sub_domain,0.8
fintech,personal-finance-budgeting,sub_domain,0.8
fintech,portfolio-optimization-allocation,sub_domain,0.8
fintech,quant-pricing-derivatives,sub_domain,0.8
fintech,reconciliation-settlement,sub_domain,0.8
fintech,regulatory-reporting-compliance,sub_domain,0.8
fintech,smart-contract-security,sub_domain,0.8
fintech,tax-calculation-filing,sub_domain,0.8
fintech,wallet-infra-tokenization,sub_domain,0.8
fintech,account-abstraction,tag,0.5
fintech,account-aggregation,tag,0.5
fintech,accounting,tag,0.5
fintech,actuarial,tag,0.5
fintech,aml,tag,0.5
fintech,amm,tag,0.5
fintech,anomaly-detection,tag,0.5
fintech,asset-allocation,tag,0.5
fintech,billing,tag,0.5
fintech,blockchain-analytics,tag,0.5
fintech,bookkeeping,tag,0.5
fintech,borrowing,tag,0.5
fintech,budgeting,tag,0.5
fintech,calculation,tag,0.5
fintech,cat-modeling,tag,0.5
fintech,checkout,tag,0.5
fintech,claims,tag,0.5
fintech,clearing,tag,0.5
fintech,compliance,tag,0.5
fintech,core-banking,tag,0.5
fintech,corporate-actions,tag,0.5
fintech,credit,tag,0.5
fintech,defi,tag,0.5
fintech,derivatives,tag,0.5
fintech,dex,tag,0.5
fintech,document-processing,tag,0.5
fintech,double-entry,tag,0.5
fintech,embedded-finance,tag,0.5
fintech,envelope-budgeting,tag,0.5
fintech,erc-4337,tag,0.5
fintech,expense-tracking,tag,0.5
fintech,fibo,tag,0.5
fintech,filing,tag,0.5
fintech,financial-ai,tag,0.5
fintech,financial-nlp,tag,0.5
fintech,financial-ontology,tag,0.5
fintech,fix,tag,0.5
fintech,formal-verification,tag,0.5
fintech,fpml,tag,0.5
fintech,fraud,tag,0.5
fintech,fuzzing,tag,0.5
fintech,general-ledger,tag,0.5
fintech,greeks,tag,0.5
fintech,identity,tag,0.5
fintech,indexing,tag,0.5
fintech,insurance,tag,0.5
fintech,invoicing,tag,0.5
fintech,iso-20022,tag,0.5
fintech,iso-8583,tag,0.5
fintech,kyc,tag,0.5
fintech,ledger,tag,0.5
fintech,lending,tag,0.5
fintech,llm,tag,0.5
fintech,market-data,tag,0.5
fintech,market-making,tag,0.5
fintech,mev,tag,0.5
fintech,multi-jurisdiction,tag,0.5
fintech,multisig,tag,0.5
fintech,ocr,tag,0.5
fintech,open-banking,tag,0.5
fintech,optimization,tag,0.5
fintech,payment-gateway,tag,0.5
fintech,payment-routing,tag,0.5
fintech,payments,tag,0.5
fintech,personal-finance,tag,0.5
fintech,portfolio,tag,0.5
fintech,psd2,tag,0.5
fintech,quant,tag,0.5
fintech,reconciliation,tag,0.5
fintech,regtech,tag,0.5
fintech,regulatory-reporting,tag,0.5
fintech,research-terminal,tag,0.5
fintech,risk-modeling,tag,0.5
fintech,risk-parity,tag,0.5
fintech,risk-scoring,tag,0.5
fintech,routing,tag,0.5
fintech,sanctions,tag,0.5
fintech,scorecards,tag,0.5
fintech,security,tag,0.5
fintech,sentiment,tag,0.5
fintech,settlement,tag,0.5
fintech,smart-contracts,tag,0.5
fintech,stablecoin,tag,0.5
fintech,statement-parsing,tag,0.5
fintech,subgraph,tag,0.5
fintech,subscriptions,tag,0.5
fintech,swift,tag,0.5
fintech,symbol-master,tag,0.5
fintech,tax,tag,0.5
fintech,tokenization,tag,0.5
fintech,trade-reporting,tag,0.5
fintech,transaction-engine,tag,0.5
fintech,transaction-matching,tag,0.5
fintech,transaction-monitoring,tag,0.5
fintech,underwriting,tag,0.5
fintech,usage-metering,tag,0.5
fintech,wallet,tag,0.5
fintech,xbrl,tag,0.5
fintech,yield-curve,tag,0.5
fintech,accounting / bookkeeping,category,0.6
fintech,aml / kyc / identity,category,0.6
fintech,amm / dex trading infrastructure,category,0.6
fintech,billing / subscription / invoicing,category,0.6
fintech,blockchain analytics / indexing,category,0.6
fintech,core banking / ledger,category,0.6
fintech,credit scoring / risk modeling,category,0.6
fintech,defi lending / borrowing,category,0.6
fintech,financial ai / nlp,category,0.6
fintech,financial data standards,category,0.6
fintech,financial document processing,category,0.6
fintech,financial market data,category,0.6
fintech,financial messaging protocols,category,0.6
fintech,fraud detection / prevention,category,0.6
fintech,insurance / actuarial tech,category,0.6
fintech,open banking / psd2,category,0.6
fintech,payment processing / gateways,category,0.6
fintech,personal finance / budgeting,category,0.6
fintech,portfolio optimization / allocation,category,0.6
fintech,quant pricing / derivatives,category,0.6
fintech,reconciliation / settlement,category,0.6
fintech,regulatory reporting / compliance,category,0.6
fintech,smart contract security,category,0.6
fintech,tax calculation / filing,category,0.6
fintech,wallet infrastructure / tokenization,category,0.6
gaming,gaming,domain_name,1.0
gaming,asset-formats,sub_domain,0.8
gaming,asset-tools,sub_domain,0.8
gaming,behavior-ai,sub_domain,0.8
gaming,chiptune-trackers,sub_domain,0.8
gaming,dialogue-narrative,sub_domain,0.8
gaming,ecs-frameworks,sub_domain,0.8
gaming,emulators-retro,sub_domain,0.8
gaming,fluid-cloth-simulation,sub_domain,0.8
gaming,game-audio,sub_domain,0.8
gaming,game-backends,sub_domain,0.8
gaming,game-devops-analytics,sub_domain,0.8
gaming,game-engines-2d,sub_domain,0.8
gaming,game-engines-3d,sub_domain,0.8
gaming,game-networking,sub_domain,0.8
gaming,game-scripting,sub_domain,0.8
gaming,game-server-orchestration,sub_domain,0.8
gaming,game-ui,sub_domain,0.8
gaming,graphics-rendering,sub_domain,0.8
gaming,input-controllers,sub_domain,0.8
gaming,modding-frameworks,sub_domain,0.8
gaming,pathfinding-navmesh,sub_domain,0.8
gaming,physics-engines,sub_domain,0.8
gaming,procedural-generation,sub_domain,0.8
gaming,ray-tracing,sub_domain,0.8
gaming,roguelike-frameworks,sub_domain,0.8
gaming,visual-novel-engines,sub_domain,0.8
gaming,voxel-engines,sub_domain,0.8
gaming,web-game-engines,sub_domain,0.8
gaming,2d,tag,0.5
gaming,2d-3d,tag,0.5
gaming,2d-design,tag,0.5
gaming,2d-engine,tag,0.5
gaming,2d-game-engine,tag,0.5
gaming,2d-games,tag,0.5
gaming,2d-rendering,tag,0.5
gaming,3d,tag,0.5
gaming,3d-audio,tag,0.5
gaming,3d-editing,tag,0.5
gaming,3d-engine,tag,0.5
gaming,3d-formats,tag,0.5
gaming,3d-game-engine,tag,0.5
gaming,3d-games,tag,0.5
gaming,3d-gizmo,tag,0.5
gaming,3d-graphics,tag,0.5
gaming,3d-import,tag,0.5
gaming,3d-loading,tag,0.5
gaming,3d-modeling,tag,0.5
gaming,8-bit,tag,0.5
gaming,aaa,tag,0.5
gaming,aaa-game,tag,0.5
gaming,aaa-games,tag,0.5
gaming,abandoned,tag,0.5
gaming,abstraction,tag,0.5
gaming,academic,tag,0.5
gaming,accessibility,tag,0.5
gaming,accuracy,tag,0.5
gaming,accurate,tag,0.5
gaming,action-planning,tag,0.5
gaming,action-rpg,tag,0.5
gaming,addon,tag,0.5
gaming,agent,tag,0.5
gaming,ai-navigation,tag,0.5
gaming,ai-pathfinding,tag,0.5
gaming,ai-planning,tag,0.5
gaming,ai-research,tag,0.5
gaming,algorithm,tag,0.5
gaming,algorithms,tag,0.5
gaming,amd,tag,0.5
gaming,amiga,tag,0.5
gaming,analysis,tag,0.5
gaming,android,tag,0.5
gaming,animation,tag,0.5
gaming,anomaly-detection,tag,0.5
gaming,anti-cheat,tag,0.5
gaming,api,tag,0.5
gaming,api-abstraction,tag,0.5
gaming,archived,tag,0.5
gaming,artist-friendly,tag,0.5
gaming,ascii,tag,0.5
gaming,asset-import,tag,0.5
gaming,asset-pipeline,tag,0.5
gaming,asset-processing,tag,0.5
gaming,astar,tag,0.5
gaming,audio,tag,0.5
gaming,audio-editor,tag,0.5
gaming,audio-middleware,tag,0.5
gaming,audio-playback,tag,0.5
gaming,audio-tool,tag,0.5
gaming,authentication,tag,0.5
gaming,automation,tag,0.5
gaming,autonomous-agents,tag,0.5
gaming,baas,tag,0.5
gaming,backend,tag,0.5
gaming,batch-packing,tag,0.5
gaming,beginner,tag,0.5
gaming,beginner-friendly,tag,0.5
gaming,behavior-modeling,tag,0.5
gaming,behavior-tree,tag,0.5
gaming,bevy,tag,0.5
gaming,beyond-all-reason,tag,0.5
gaming,bindings,tag,0.5
gaming,biomes,tag,0.5
gaming,blender-integration,tag,0.5
gaming,blueprint,tag,0.5
gaming,boardgame,tag,0.5
gaming,botany,tag,0.5
gaming,box2d,tag,0.5
gaming,branching-dialogue,tag,0.5
gaming,brdf,tag,0.5
gaming,browser,tag,0.5
gaming,bsp,tag,0.5
gaming,bsp-trees,tag,0.5
gaming,build,tag,0.5
gaming,builder-pattern,tag,0.5
gaming,bytecode,tag,0.5
gaming,c,tag,0.5
gaming,c#,tag,0.5
gaming,c++,tag,0.5
gaming,c-api,tag,0.5
gaming,c-library,tag,0.5
gaming,c-plus-plus,tag,0.5
gaming,canvas,tag,0.5
gaming,card-game,tag,0.5
gaming,cheating-detection,tag,0.5
gaming,chiptune,tag,0.5
gaming,chiptune-emulation,tag,0.5
gaming,chiptune-player,tag,0.5
gaming,chunk-streaming,tag,0.5
gaming,ci-cd,tag,0.5
gaming,city-generation,tag,0.5
gaming,citygml,tag,0.5
gaming,classic,tag,0.5
