repo_slug,capability_id,capability_label,domain
etsi-open-source-mano-osm,multi-vim-support,Multi Vim Support,telecoms
faucet,yaml-network-config,Yaml Network Config,telecoms
faucet,multi-table-pipeline,Multi Table Pipeline,telecoms
faucet,ipv6-routing,Ipv6 Routing,telecoms
faucet,vlan-management,Vlan Management,telecoms
faucet,layer2-switching,Layer2 Switching,telecoms
faucet,openflow-controller,Openflow Controller,telecoms
faucet,web-dashboard,Web Dashboard,telecoms
faucet,config-mutation,Config Mutation,telecoms
faucet,prometheus-metrics,Prometheus Metrics,telecoms
faucet,lldp-discovery,Lldp Discovery,telecoms
faucet,fuzz-testing,Fuzz Testing,telecoms
faucet,ipv4-routing,Ipv4 Routing,telecoms
faucet,sdn-control-plane,Sdn Control Plane,telecoms
faucet,acl-enforcement,Acl Enforcement,telecoms
faucet,lacp-bonding,Lacp Bonding,telecoms
faucet,bgp-peering,Bgp Peering,telecoms
free5gc,nas-protocol-handling,Nas Protocol Handling,telecoms
free5gc,5g-core-nrf,5G Core Nrf,telecoms
free5gc,web-dashboard,Web Dashboard,telecoms
free5gc,5g-core-udm,5G Core Udm,telecoms
free5gc,5g-core-pcf,5G Core Pcf,telecoms
free5gc,5g-core-udr,5G Core Udr,telecoms
free5gc,multi-service-compose-stack,Multi Service Compose Stack,telecoms
free5gc,pfcp-session-management,Pfcp Session Management,telecoms
free5gc,gtp-u-tunneling,Gtp U Tunneling,telecoms
free5gc,subscriber-management,Subscriber Management,telecoms
free5gc,ngap-interface,Ngap Interface,telecoms
free5gc,config-mutation,Config Mutation,telecoms
free5gc,5g-core-amf,5G Core Amf,telecoms
free5gc,5g-core-nssf,5G Core Nssf,telecoms
free5gc,5g-core-smf,5G Core Smf,telecoms
free5gc,5g-core-n3iwf,5G Core N3Iwf,telecoms
free5gc,sbi-rest-api,Sbi Rest Api,telecoms
free5gc,5g-core-upf,5G Core Upf,telecoms
free5gc,5g-core-ausf,5G Core Ausf,telecoms
free5gc-compose,ran-simulation,Ran Simulation,telecoms
free5gc-compose,multi-nf-orchestration,Multi Nf Orchestration,telecoms
free5gc-compose,5g-core-nrf,5G Core Nrf,telecoms
free5gc-compose,web-dashboard,Web Dashboard,telecoms
free5gc-compose,5g-core-udm,5G Core Udm,telecoms
free5gc-compose,end-to-end-5g-sa,End To End 5G Sa,telecoms
free5gc-compose,5g-core-pcf,5G Core Pcf,telecoms
free5gc-compose,pdu-session-management,Pdu Session Management,telecoms
free5gc-compose,5g-core-udr,5G Core Udr,telecoms
free5gc-compose,ueransim-ue,Ueransim Ue,telecoms
free5gc-compose,subscriber-management,Subscriber Management,telecoms
free5gc-compose,5g-core-nef,5G Core Nef,telecoms
free5gc-compose,5g-core-ausf,5G Core Ausf,telecoms
free5gc-compose,config-mutation,Config Mutation,telecoms
free5gc-compose,5g-core-amf,5G Core Amf,telecoms
free5gc-compose,5g-core-nssf,5G Core Nssf,telecoms
free5gc-compose,5g-core-smf,5G Core Smf,telecoms
free5gc-compose,5g-core-n3iwf,5G Core N3Iwf,telecoms
free5gc-compose,5g-core-upf,5G Core Upf,telecoms
free5gc-compose,ueransim-gnb,Ueransim Gnb,telecoms
free5gc-compose,5g-core-chf,5G Core Chf,telecoms
ixia-c-open-traffic-generator,l2-l7-traffic-engine,L2 L7 Traffic Engine,telecoms
ixia-c-open-traffic-generator,ipv4-ipv6-traffic,Ipv4 Ipv6 Traffic,telecoms
ixia-c-open-traffic-generator,multi-container-orchestration,Multi Container Orchestration,telecoms
ixia-c-open-traffic-generator,protocol-emulation,Protocol Emulation,telecoms
ixia-c-open-traffic-generator,vxlan-traffic-generation,Vxlan Traffic Generation,telecoms
ixia-c-open-traffic-generator,rest-api-control-plane,Rest Api Control Plane,telecoms
ixia-c-open-traffic-generator,gtp-traffic-generation,Gtp Traffic Generation,telecoms
ixia-c-open-traffic-generator,scripted-test-scenarios,Scripted Test Scenarios,telecoms
ixia-c-open-traffic-generator,traffic-generation,Traffic Generation,telecoms
ixia-c-open-traffic-generator,otg-api-server,Otg Api Server,telecoms
ixia-c-open-traffic-generator,load-testing,Load Testing,telecoms
kathara,multi-container-networking,Multi Container Networking,telecoms
kathara,kubernetes-backend,Kubernetes Backend,telecoms
kathara,virtual-l2-lan,Virtual L2 Lan,telecoms
kathara,container-based-topology,Container Based Topology,telecoms
kathara,packet-capture,Packet Capture,telecoms
kathara,network-emulation,Network Emulation,telecoms
kathara,docker-backend,Docker Backend,telecoms
kathara,python-api,Python Api,telecoms
kathara,agentic-network-troubleshooting,Agentic Network Troubleshooting,telecoms
kathara,p4-dataplane,P4 Dataplane,telecoms
kathara,topology-mutation,Topology Mutation,telecoms
kathara,lab-scenario-automation,Lab Scenario Automation,telecoms
kathara,config-mutation,Config Mutation,telecoms
kathara,isis-routing,Isis Routing,telecoms
kathara,ospf-routing,Ospf Routing,telecoms
kathara,rip-routing,Rip Routing,telecoms
kathara,node-failure-simulation,Node Failure Simulation,telecoms
kathara,openvswitch-integration,Openvswitch Integration,telecoms
kathara,frrouting-integration,Frrouting Integration,telecoms
kathara,openflow-sdn,Openflow Sdn,telecoms
kathara,quagga-integration,Quagga Integration,telecoms
kathara,dns-server,Dns Server,telecoms
kathara,bgp-routing,Bgp Routing,telecoms
netbox-docker,ipam-management,Ipam Management,telecoms
netbox-docker,dcim-inventory,Dcim Inventory,telecoms
netbox-docker,network-source-of-truth,Network Source Of Truth,telecoms
netbox-docker,rest-api-server,Rest Api Server,telecoms
netbox-docker,graphql-api,Graphql Api,telecoms
netbox-docker,web-dashboard,Web Dashboard,telecoms
netbox-docker,ip-prefix-management,Ip Prefix Management,telecoms
netbox-docker,vlan-management,Vlan Management,telecoms
netbox-docker,rack-management,Rack Management,telecoms
netbox-docker,device-inventory,Device Inventory,telecoms
netbox-docker,cable-management,Cable Management,telecoms
netbox-docker,circuit-tracking,Circuit Tracking,telecoms
netbox-docker,virtualization-inventory,Virtualization Inventory,telecoms
o-ran-testbed-automation-nist,5g-gnb-simulation,5G Gnb Simulation,telecoms
o-ran-testbed-automation-nist,ngap-interface,Ngap Interface,telecoms
o-ran-testbed-automation-nist,osc-ric-integration,Osc Ric Integration,telecoms
o-ran-testbed-automation-nist,flexric-integration,Flexric Integration,telecoms
o-ran-testbed-automation-nist,near-rt-ric,Near Rt Ric,telecoms
o-ran-testbed-automation-nist,oai-ran-integration,Oai Ran Integration,telecoms
o-ran-testbed-automation-nist,config-mutation,Config Mutation,telecoms
o-ran-testbed-automation-nist,xapp-testing-environment,Xapp Testing Environment,telecoms
o-ran-testbed-automation-nist,5g-ue-simulation,5G Ue Simulation,telecoms
o-ran-testbed-automation-nist,multi-component-orchestration,Multi Component Orchestration,telecoms
o-ran-testbed-automation-nist,o-ran-testbed-automation,O Ran Testbed Automation,telecoms
o-ran-testbed-automation-nist,e2ap-interface,E2Ap Interface,telecoms
o-ran-testbed-automation-nist,e2sm-rc-control,E2Sm Rc Control,telecoms
o-ran-testbed-automation-nist,5g-core-deployment,5G Core Deployment,telecoms
o-ran-testbed-automation-nist,reproducible-testbed-deployment,Reproducible Testbed Deployment,telecoms
o-ran-testbed-automation-nist,e2sm-kpm-monitoring,E2Sm Kpm Monitoring,telecoms
open5gs,multi-compose-stack,Multi Compose Stack,telecoms
open5gs,4g-epc-sgw,4G Epc Sgw,telecoms
open5gs,gtp-c-plane,Gtp C Plane,telecoms
open5gs,pfcp-endpoint,Pfcp Endpoint,telecoms
open5gs,ngap-endpoint,Ngap Endpoint,telecoms
open5gs,5g-core-nrf,5G Core Nrf,telecoms
open5gs,s1ap-endpoint,S1Ap Endpoint,telecoms
open5gs,4g-epc-pgw,4G Epc Pgw,telecoms
open5gs,5g-core-udm,5G Core Udm,telecoms
open5gs,dual-mode-4g-5g-core,Dual Mode 4G 5G Core,telecoms
open5gs,5g-core-pcf,5G Core Pcf,telecoms
open5gs,diameter-server,Diameter Server,telecoms
open5gs,5g-core-udr,5G Core Udr,telecoms
open5gs,nas-5gs-stack,Nas 5Gs Stack,telecoms
open5gs,gtp-u-plane,Gtp U Plane,telecoms
open5gs,4g-epc-pcrf,4G Epc Pcrf,telecoms
open5gs,subscriber-management,Subscriber Management,telecoms
open5gs,config-mutation,Config Mutation,telecoms
open5gs,5g-core-amf,5G Core Amf,telecoms
open5gs,4g-epc-mme,4G Epc Mme,telecoms
open5gs,5g-core-nssf,5G Core Nssf,telecoms
open5gs,5g-core-bsf,5G Core Bsf,telecoms
open5gs,4g-epc-hss,4G Epc Hss,telecoms
open5gs,5g-core-smf,5G Core Smf,telecoms
open5gs,sbi-rest-api,Sbi Rest Api,telecoms
open5gs,5g-core-upf,5G Core Upf,telecoms
open5gs,5g-core-ausf,5G Core Ausf,telecoms
openairinterface-5g-ran-oai,5g-nr-gnb,5G Nr Gnb,telecoms
openairinterface-5g-ran-oai,4g-lte-enb,4G Lte Enb,telecoms
openairinterface-5g-ran-oai,nr-ue-simulator,Nr Ue Simulator,telecoms
openairinterface-5g-ran-oai,rf-simulator,Rf Simulator,telecoms
openairinterface-5g-ran-oai,phy-layer-simulation,Phy Layer Simulation,telecoms
openairinterface-5g-ran-oai,mac-scheduler,Mac Scheduler,telecoms
openairinterface-5g-ran-oai,rlc-layer,Rlc Layer,telecoms
openairinterface-5g-ran-oai,pdcp-layer,Pdcp Layer,telecoms
openairinterface-5g-ran-oai,rrc-layer,Rrc Layer,telecoms
openairinterface-5g-ran-oai,sdap-layer,Sdap Layer,telecoms
openairinterface-5g-ran-oai,f1ap-interface,F1Ap Interface,telecoms
openairinterface-5g-ran-oai,e1ap-interface,E1Ap Interface,telecoms
openairinterface-5g-ran-oai,e2ap-interface,E2Ap Interface,telecoms
openairinterface-5g-ran-oai,ngap-interface,Ngap Interface,telecoms
openairinterface-5g-ran-oai,s1ap-interface,S1Ap Interface,telecoms
openairinterface-5g-ran-oai,gtp-u-tunneling,Gtp U Tunneling,telecoms
openairinterface-5g-ran-oai,o-ran-e2-agent,O Ran E2 Agent,telecoms
openairinterface-5g-ran-oai,containerized-e2e-ran,Containerized E2E Ran,telecoms
openairinterface-5g-ran-oai,phy-simulators-dlsim-ulsim,Phy Simulators Dlsim Ulsim,telecoms
openairinterface-5g-ran-oai,ldpc-codec,Ldpc Codec,telecoms
sr-linux-sros-streaming-telemetry-lab,netconf-server,Netconf Server,telecoms
sr-linux-sros-streaming-telemetry-lab,sros-nodes,Sros Nodes,telecoms
sr-linux-sros-streaming-telemetry-lab,gnmic-collector,Gnmic Collector,telecoms
sr-linux-sros-streaming-telemetry-lab,multi-vendor-nms,Multi Vendor Nms,telecoms
sr-linux-sros-streaming-telemetry-lab,clos-fabric-topology,Clos Fabric Topology,telecoms
sr-linux-sros-streaming-telemetry-lab,grpc-telemetry-collector,Grpc Telemetry Collector,telecoms
sr-linux-sros-streaming-telemetry-lab,web-dashboard,Web Dashboard,telecoms
sr-linux-sros-streaming-telemetry-lab,prometheus-metrics,Prometheus Metrics,telecoms
sr-linux-sros-streaming-telemetry-lab,yang-datastore,Yang Datastore,telecoms
sr-linux-sros-streaming-telemetry-lab,sr-linux-nodes,Sr Linux Nodes,telecoms
sr-linux-sros-streaming-telemetry-lab,grafana-dashboard,Grafana Dashboard,telecoms
sr-linux-sros-streaming-telemetry-lab,streaming-telemetry,Streaming Telemetry,telecoms
sr-linux-sros-streaming-telemetry-lab,gnmi-streaming-telemetry,Gnmi Streaming Telemetry,telecoms
srsran-o-ran-sc-ric,rmr-messaging,Rmr Messaging,telecoms
srsran-o-ran-sc-ric,app-manager,App Manager,telecoms
srsran-o-ran-sc-ric,near-rt-ric,Near Rt Ric,telecoms
srsran-o-ran-sc-ric,config-mutation,Config Mutation,telecoms
srsran-o-ran-sc-ric,subscription-manager,Subscription Manager,telecoms
srsran-o-ran-sc-ric,e2-manager,E2 Manager,telecoms
srsran-o-ran-sc-ric,redis-dbaas,Redis Dbaas,telecoms
srsran-o-ran-sc-ric,routing-manager-sim,Routing Manager Sim,telecoms
srsran-o-ran-sc-ric,rc-xapp,Rc Xapp,telecoms
srsran-o-ran-sc-ric,e2ap-interface,E2Ap Interface,telecoms
srsran-o-ran-sc-ric,e2sm-rc-control,E2Sm Rc Control,telecoms
srsran-o-ran-sc-ric,xapp-runtime-environment,Xapp Runtime Environment,telecoms
srsran-o-ran-sc-ric,multi-service-compose-stack,Multi Service Compose Stack,telecoms
srsran-o-ran-sc-ric,e2sm-kpm-monitoring,E2Sm Kpm Monitoring,telecoms
srsran-o-ran-sc-ric,e2-termination,E2 Termination,telecoms
srsran-o-ran-sc-ric,kpm-xapp,Kpm Xapp,telecoms
srsran-project-5g,5g-gnb,5G Gnb,telecoms
srsran-project-5g,5g-cu,5G Cu,telecoms
srsran-project-5g,5g-du,5G Du,telecoms
srsran-project-5g,o-ran-e2-interface,O Ran E2 Interface,telecoms
srsran-project-5g,f1ap-interface,F1Ap Interface,telecoms
srsran-project-5g,e1ap-interface,E1Ap Interface,telecoms
srsran-project-5g,ngap-interface,Ngap Interface,telecoms
srsran-project-5g,zmq-rf-simulation,Zmq Rf Simulation,telecoms
srsran-project-5g,phy-layer-simulation,Phy Layer Simulation,telecoms
srsran-project-5g,5g-nr-phy,5G Nr Phy,telecoms
srsran-project-5g,fapi-interface,Fapi Interface,telecoms
srsran-project-5g,gtp-u-tunneling,Gtp U Tunneling,telecoms
srsran-project-5g,sctp-transport,Sctp Transport,telecoms
srsran-project-5g,docker-compose-stack,Docker Compose Stack,telecoms
srsran-project-5g,sdr-hardware-support,Sdr Hardware Support,telecoms
zabbix-docker,zabbix-agent,Zabbix Agent,telecoms
zabbix-docker,snmpv3-support,Snmpv3 Support,telecoms
zabbix-docker,snmp-monitoring,Snmp Monitoring,telecoms
zabbix-docker,snmp-trap-receiver,Snmp Trap Receiver,telecoms
zabbix-docker,ipmi-monitoring,Ipmi Monitoring,telecoms
zabbix-docker,web-dashboard,Web Dashboard,telecoms
zabbix-docker,device-discovery,Device Discovery,telecoms
zabbix-docker,network-monitoring-system,Network Monitoring System,telecoms
zabbix-docker,metrics-collection,Metrics Collection,telecoms
zabbix-docker,streaming-telemetry,Streaming Telemetry,telecoms
zabbix-docker,zabbix-server,Zabbix Server,telecoms
zabbix-docker,jmx-monitoring,Jmx Monitoring,telecoms
zabbix-docker,multi-service-compose-stack,Multi Service Compose Stack,telecoms
zabbix-docker,alerting-engine,Alerting Engine,telecoms
5g-mag-mbs-examples,udm,Udm,telecoms
5g-mag-mbs-examples,nssf,Nssf,telecoms
5g-mag-mbs-examples,sbi-northbound,Sbi Northbound,telecoms
5g-mag-mbs-examples,mb-smf,Mb Smf,telecoms
5g-mag-mbs-examples,mb-upf,Mb Upf,telecoms
5g-mag-mbs-examples,pcf,Pcf,telecoms
5g-mag-mbs-examples,rel17-mbs-stack,Rel17 Mbs Stack,telecoms
5g-mag-mbs-examples,bsf,Bsf,telecoms
5g-mag-mbs-examples,ue-simulation,Ue Simulation,telecoms
5g-mag-mbs-examples,gnb-simulation,Gnb Simulation,telecoms
5g-mag-mbs-examples,pfcp-session-management,Pfcp Session Management,telecoms
5g-mag-mbs-examples,gtp-u-tunneling,Gtp U Tunneling,telecoms
5g-mag-mbs-examples,mbs-multicast-broadcast,Mbs Multicast Broadcast,telecoms
5g-mag-mbs-examples,udr,Udr,telecoms
5g-mag-mbs-examples,nrf,Nrf,telecoms
5g-mag-mbs-examples,config-mutation,Config Mutation,telecoms
5g-mag-mbs-examples,5g-core-amf,5G Core Amf,telecoms
5g-mag-mbs-examples,ausf,Ausf,telecoms
5g-mag-mbs-examples,nas-signaling,Nas Signaling,telecoms
5g-mag-mbs-examples,5g-core-smf,5G Core Smf,telecoms
5g-mag-mbs-examples,ngap-signaling,Ngap Signaling,telecoms
5g-mag-mbs-examples,open5gs-core,Open5Gs Core,telecoms
5g-mag-mbs-examples,5g-core-upf,5G Core Upf,telecoms
batfish,isis-analysis,Isis Analysis,telecoms
batfish,acl-verification,Acl Verification,telecoms
batfish,rip-analysis,Rip Analysis,telecoms
batfish,eigrp-analysis,Eigrp Analysis,telecoms
batfish,route-analysis,Route Analysis,telecoms
batfish,multi-vendor-config-parsing,Multi Vendor Config Parsing,telecoms
batfish,rest-api,Rest Api,telecoms
batfish,ospf-analysis,Ospf Analysis,telecoms
batfish,offline-config-analysis,Offline Config Analysis,telecoms
batfish,network-config-analysis,Network Config Analysis,telecoms
batfish,protocol-analysis,Protocol Analysis,telecoms
batfish,change-impact-analysis,Change Impact Analysis,telecoms
batfish,compliance-checking,Compliance Checking,telecoms
batfish,jupyter-notebook-interface,Jupyter Notebook Interface,telecoms
batfish,reachability-analysis,Reachability Analysis,telecoms
batfish,pre-deployment-validation,Pre Deployment Validation,telecoms
batfish,bgp-analysis,Bgp Analysis,telecoms
batfish,firewall-policy-analysis,Firewall Policy Analysis,telecoms
eclipse-ditto,digital-twin-framework,Digital Twin Framework,telecoms
eclipse-ditto,iot-device-modeling,Iot Device Modeling,telecoms
eclipse-ditto,rest-api-gateway,Rest Api Gateway,telecoms
eclipse-ditto,websocket-api,Websocket Api,telecoms
eclipse-ditto,mqtt-connectivity,Mqtt Connectivity,telecoms
eclipse-ditto,amqp-connectivity,Amqp Connectivity,telecoms
eclipse-ditto,kafka-connectivity,Kafka Connectivity,telecoms
eclipse-ditto,device-state-management,Device State Management,telecoms
eclipse-ditto,things-search-api,Things Search Api,telecoms
eclipse-ditto,policy-based-access-control,Policy Based Access Control,telecoms
eclipse-ditto,telemetry-mirroring,Telemetry Mirroring,telecoms
eclipse-ditto,web-dashboard,Web Dashboard,telecoms
frrouting-frr,bfd-support,Bfd Support,telecoms
frrouting-frr,pim-multicast,Pim Multicast,telecoms
frrouting-frr,ldp-signaling,Ldp Signaling,telecoms
frrouting-frr,vtysh-cli,Vtysh Cli,telecoms
frrouting-frr,bgp-routing,Bgp Routing,telecoms
frrouting-frr,restconf-api,Restconf Api,telecoms
frrouting-frr,eigrp-routing,Eigrp Routing,telecoms
frrouting-frr,docker-image,Docker Image,telecoms
frrouting-frr,netconf-server,Netconf Server,telecoms
frrouting-frr,vrrp-redundancy,Vrrp Redundancy,telecoms
frrouting-frr,ipv6-routing,Ipv6 Routing,telecoms
frrouting-frr,route-policy-engine,Route Policy Engine,telecoms
frrouting-frr,mpls-forwarding,Mpls Forwarding,telecoms
frrouting-frr,config-mutation,Config Mutation,telecoms
frrouting-frr,isis-routing,Isis Routing,telecoms
frrouting-frr,ospf-routing,Ospf Routing,telecoms
frrouting-frr,yang-datastore,Yang Datastore,telecoms
frrouting-frr,rip-routing,Rip Routing,telecoms
gnmic,gnmi-client,Gnmi Client,telecoms
gnmic,gnmi-collector,Gnmi Collector,telecoms
gnmic,streaming-telemetry,Streaming Telemetry,telecoms
gnmic,openconfig-support,Openconfig Support,telecoms
gnmic,prometheus-exporter,Prometheus Exporter,telecoms
gnmic,influxdb-output,Influxdb Output,telecoms
gnmic,kafka-output,Kafka Output,telecoms
gnmic,nats-output,Nats Output,telecoms
gnmic,grpc-client,Grpc Client,telecoms
gnmic,dynamic-target-discovery,Dynamic Target Discovery,telecoms
gnmic,clustering,Clustering,telecoms
gnmic,data-pipeline,Data Pipeline,telecoms
gnmic,cli-tool,Cli Tool,telecoms
gnmic,containerlab-integration,Containerlab Integration,telecoms
gns3-server,multi-vendor-topology,Multi Vendor Topology,telecoms
gns3-server,ospf-emulation,Ospf Emulation,telecoms
gns3-server,web-dashboard,Web Dashboard,telecoms
gns3-server,bgp-emulation,Bgp Emulation,telecoms
gns3-server,rest-api-control,Rest Api Control,telecoms
gns3-server,network-emulation-server,Network Emulation Server,telecoms
gns3-server,snmp-agent,Snmp Agent,telecoms
gns3-server,packet-capture,Packet Capture,telecoms
gns3-server,docker-node-support,Docker Node Support,telecoms
gns3-server,vlan-emulation,Vlan Emulation,telecoms
gns3-server,dynamips-integration,Dynamips Integration,telecoms
gns3-server,qemu-kvm-integration,Qemu Kvm Integration,telecoms
gns3-server,virtualbox-integration,Virtualbox Integration,telecoms
gns3-server,topology-mutation,Topology Mutation,telecoms
gns3-server,config-mutation,Config Mutation,telecoms
gns3-server,isis-emulation,Isis Emulation,telecoms
gns3-server,network-digital-twin,Network Digital Twin,telecoms
gns3-server,node-failure-simulation,Node Failure Simulation,telecoms
gns3-server,eigrp-emulation,Eigrp Emulation,telecoms
gns3-server,mpls-emulation,Mpls Emulation,telecoms
homer,rtp-rtcp-analysis,Rtp Rtcp Analysis,telecoms
homer,hep-capture,Hep Capture,telecoms
homer,carrier-grade-monitoring,Carrier Grade Monitoring,telecoms
homer,sip-monitoring,Sip Monitoring,telecoms
homer,web-dashboard,Web Dashboard,telecoms
homer,voip-observability,Voip Observability,telecoms
homer,sip-search,Sip Search,telecoms
homer,packet-capture,Packet Capture,telecoms
homer,call-flow-analysis,Call Flow Analysis,telecoms
homer,event-correlation,Event Correlation,telecoms
homer,protocol-analysis,Protocol Analysis,telecoms
librenms-docker,network-auto-discovery,Network Auto Discovery,telecoms
librenms-docker,snmpv3-support,Snmpv3 Support,telecoms
librenms-docker,snmp-trap-receiver,Snmp Trap Receiver,telecoms
librenms-docker,snmp-monitoring,Snmp Monitoring,telecoms
librenms-docker,bgp-monitoring,Bgp Monitoring,telecoms
librenms-docker,cdp-lldp-discovery,Cdp Lldp Discovery,telecoms
librenms-docker,web-dashboard,Web Dashboard,telecoms
librenms-docker,multi-vendor-device-support,Multi Vendor Device Support,telecoms
librenms-docker,network-topology-mapping,Network Topology Mapping,telecoms
librenms-docker,syslog-collection,Syslog Collection,telecoms
librenms-docker,streaming-telemetry,Streaming Telemetry,telecoms
librenms-docker,ospf-monitoring,Ospf Monitoring,telecoms
librenms-docker,alerting-engine,Alerting Engine,telecoms
magma,gtp-tunneling,Gtp Tunneling,telecoms
magma,ngap-handler,Ngap Handler,telecoms
magma,5g-sbi-interface,5G Sbi Interface,telecoms
magma,web-dashboard,Web Dashboard,telecoms
magma,rest-api-northbound,Rest Api Northbound,telecoms
magma,enodeb-connectivity,Enodeb Connectivity,telecoms
magma,diameter-server,Diameter Server,telecoms
magma,access-gateway,Access Gateway,telecoms
magma,4g-lte-core,4G Lte Core,telecoms
magma,policy-enforcement,Policy Enforcement,telecoms
magma,s1ap-handler,S1Ap Handler,telecoms
magma,subscriber-management,Subscriber Management,telecoms
magma,federation-gateway,Federation Gateway,telecoms
magma,config-mutation,Config Mutation,telecoms
magma,5g-core,5G Core,telecoms
magma,nas-processing,Nas Processing,telecoms
